,code,filmo,movie_code,average_audience
12492,10024795,위스키 탱고 폭스트롯,20168747,948833
12410,10070272,업 포 러브,20166401,34182
12419,20246330,순종,20161603,0
12390,10030307,워킹 스트리트,20162546,515094
12414,10031593,라라랜드,20167904,256801
12465,10087510,자칼이 온다,20126089,0
12388,20144304,형,20154661,0
12483,10034033,신비한 동물사전,20162365,213314
12457,10027452,루돌프와 많이있어,20162727,167829
12475,20113882,백야,20126001,509
12413,10014012,라라랜드,20167904,140637
12399,10009990,브레이킹 던 part2,20126469,393717
12361,10000589,로그 원: 스타워즈 스토리,20163183,46742
12373,20178087,작은 형,20149258,1032233
12411,10080162,업 포 러브,20166401,7127
12450,10089485,루돌프와 많이있어,20162727,764380
12436,10009559,잭 리처: 네버 고 백,20166363,0
12363,20236647,연애담,20159286,0
12402,10077512,스퀴즈,20162829,8240
12473,20152117,자칼이 온다,20126089,564994
12432,10084334,잭 리처: 네버 고 백,20166363,5267657
12476,20124322,백야,20126001,10141
12462,20066637,자칼이 온다,20126089,1895798
12422,20256452,미스 사이공 : 25주년 특별 공연,20163824,0
12417,10072075,순종,20161603,1043779
12384,20209526,형,20154661,240484
12452,20248329,루돌프와 많이있어,20162727,0
12445,10046954,돈 크라이 마미,20124348,0
12464,10050151,자칼이 온다,20126089,3607280
12375,20133889,작은 형,20149258,0
12484,10064912,신비한 동물사전,20162365,0
12409,20113003,남쪽으로 간다,20121072,5043
12355,10013440,로그 원: 스타워즈 스토리,20163183,21801
12443,20179097,돈 크라이 마미,20124348,0
