,movie_name,nation,distribution,director_average,actor_sum,rate,genre,release_date,day1_screen,day1_audience,day14_date,day14_audience
151,비바 프랑스,프랑스,(주)미디어데이,0,0,15세이상관람가,코미디,2013-08-22,6,578,2013-09-04,2045
152,설국열차,한국,씨제이이앤엠(주),3618076,10493276,15세이상관람가,SF|액션,2013-08-01,936,601029,2013-08-14,7145121
153,할매-시멘트정원,한국,'탁주'조합,755,0,15세이상관람가,다큐멘터리,2013-08-29,1,5,2013-09-11,54
154,블링 링,미국,찬란,41464,2281310,청소년관람불가,범죄|드라마,2013-09-05,29,567,2013-09-18,4859
155,까미유 끌로델,프랑스,찬란,0,66439,15세이상관람가,드라마,2013-10-24,5,105,2013-11-06,1661
156,아메리칸 배틀쉽,미국,(주)케이알씨지,1,0,15세이상관람가,액션|스릴러,2013-09-16,2,520,2013-09-29,4882
157,짓,한국,(주)팝파트너스,0,0,청소년관람불가,멜로/로맨스,2013-09-25,148,2467,2013-10-08,23052
158,포가튼 : 잊혀진 소녀,독일,㈜영화사 백두대간,0,47651,15세이상관람가,드라마|미스터리|스릴러,2013-09-05,10,138,2013-09-18,1784
159,로미오와 줄리엣,영국,(주)인스터피씨엠,2177,0,전체관람가,공연,2013-09-26,2,20,2013-10-09,371
160,2 데이즈 인 뉴욕,프랑스,예지림엔터테인먼트,27490,797230,15세이상관람가,코미디|드라마|멜로/로맨스,2013-08-29,19,390,2013-09-11,4973
161,부에노스 아이레스에서 사랑에 빠질 확률,아르헨티나,(주)영화사 진진,0,0,15세이상관람가,코미디|드라마,2013-09-12,10,247,2013-09-25,11984
162,슈퍼윙스 3D,러시아,(주)영화사 빅,0,1185936,전체관람가,애니메이션|어드벤처|코미디,2013-08-14,128,4023,2013-08-27,42471
163,퍼시픽 모비딕,미국,(주)케이알씨지,0,5,15세이상관람가,스릴러|액션,2013-08-14,4,250,2013-08-27,5100
164,드리프트,호주,씨네그루(주)다우기술,0,0,15세이상관람가,드라마,2013-08-22,3,118,2013-09-04,1924
165,우리 선희,한국,(주)영화제작전원사 |(주)영화사 조제,68027,5047800,청소년관람불가,드라마,2013-09-12,38,2129,2013-09-25,43641
166,개똥이,한국,(주)씨타마운틴픽쳐스,776,0,청소년관람불가,드라마,2013-09-05,6,29,2013-09-18,613
167,명탐정 코난 : 수평선상의 음모,일본,씨제이이앤엠(주),343877,795146,12세이상관람가,애니메이션,2013-08-07,282,20161,2013-08-20,370185
168,호비와 후후의 대모험: 무지개꽃을 구하라,일본,(주)머스트씨무비,12208,0,전체관람가,애니메이션,2013-09-26,36,643,2013-10-09,13752
169,세상의 끝까지 21일,미국,(주)드림웨스트픽쳐스,0,1119074,15세이상관람가,드라마|코미디|멜로/로맨스,2013-08-14,6,303,2013-08-27,14314
170,드리프트,호주,씨네그루(주)다우기술,0,0,15세이상관람가,드라마,2013-08-22,3,118,2013-09-04,1924
171,투 타이거,이탈리아,(주)케이알씨지,0,15095,청소년관람불가,액션,2013-09-26,1,510,2013-10-09,5460
172,"가자, 장미여관으로",한국,(주)팝파트너스,1372,425,청소년관람불가,멜로/로맨스|드라마,2013-08-14,2,180,2013-08-27,8157
173,화이트 타이거: 최강전차군단,러시아,(주)소나무픽쳐스,0,0,15세이상관람가,액션|전쟁|어드벤처,2013-10-17,5,677,2013-10-30,5058
174,히어로,한국,(주)마인스 엔터테인먼트,383336,5992854,전체관람가,가족|SF|드라마,2013-10-08,38,428,2013-10-21,22692
175,가투의 연날리기,인도,(주)씨타마운틴픽쳐스,0,0,전체관람가,드라마,2013-09-26,2,6,2013-10-09,245
176,잠자는 숲속의 미녀 ,영국,(주)인스터피씨엠,0,0,전체관람가,공연,2013-10-17,2,38,2013-10-30,177
177,방독피,한국,(주)두엔터테인먼트 ,305384,44270,청소년관람불가,미스터리|스릴러,2013-08-22,1,4,2013-09-04,582
178,시체 전문 처리반 - 스머글러,일본,(주)미디어데이,2096,0,청소년관람불가,스릴러|액션,2013-09-05,6,375,2013-09-18,1641
179,슈퍼배드 2,미국,유니버설픽쳐스인터내셔널 코리아(유),2327806,7520026,전체관람가|전체관람가,애니메이션,2013-09-12,303,6262,2013-09-25,727178
180,언어의 정원,일본,에이원엔터테인먼트|(주)팝엔터테인먼트,937888,346279,12세이상관람가,애니메이션,2013-08-14,54,3792,2013-08-27,42232
181,프리버즈: 밍쿠와 찌아의 도시 대탈출,아르헨티나,(주)영화사 빅,0,22526,전체관람가,애니메이션|어드벤처,2013-09-17,133,2342,2013-09-30,41926
182,그래비티,미국,워너브러더스 코리아(주),548488,496576,12세이상관람가|12세이상관람가,SF|드라마,2013-10-17,605,110996,2013-10-30,1924914
183,화이: 괴물을 삼킨 아이,한국,(주)쇼박스,73132,12359977,청소년관람불가,액션|스릴러,2013-10-09,734,360280,2013-10-22,2012934
184,어떤 시선,한국,(주)영화사 진진,255520,1617000,12세이상관람가,드라마,2013-10-24,24,863,2013-11-06,18378
185,소원,한국,롯데쇼핑㈜롯데엔터테인먼트,0,7974181,12세이상관람가,드라마,2013-10-02,609,91705,2013-10-15,1846077
186,스트레인저 인사이드,덴마크,(주)미디어데이,0,0,청소년관람불가,스릴러,2013-09-26,5,380,2013-10-09,1521
187,콜드 워,홍콩,(주)앤드플러스미디어웍스,2624,0,15세이상관람가,범죄|액션,2013-09-05,18,396,2013-09-18,2306
