,actor_code,filmo,filmo_code,average_audience
13139,20183811,반창꼬,20124399,0
13193,20277571,바람의 춤꾼,20176041,0
13192,10013657,미이라,20166488,0
13144,20180809,반창꼬,20124399,0
13163,10086951,바다 탐험대 옥토넛 시즌4: 더 파이널,20174821,58192
13169,20277649,베이블레이드 버스트 갓 : 갓 발키리의 탄생,20176141,0
13143,10062279,반창꼬,20124399,2696297
13189,10086912,미이라,20166488,450
13162,10010124,무림신공: 벽력화,20163295,18958
13109,20139767,가문의 영광5 - 가문의 귀환,20128687,0
13188,10014740,미이라,20166488,655596
13186,20120582,미이라,20166488,311177
13145,10065825,반창꼬,20124399,275129
13165,10047326,바다 탐험대 옥토넛 시즌4: 더 파이널,20174821,102731
13115,20189237,가문의 영광5 - 가문의 귀환,20128687,0
13158,10066815,7번째 내가 죽던 날,20174803,7465
13122,10041879,레미제라블,20128274,501682
13185,10081054,미이라,20166488,1376371
13100,10028490,가문의 영광5 - 가문의 귀환,20128687,57614
13124,10001656,반창꼬,20124399,1189088
13182,10047326,파워배틀 와치카: 와치가면의 역습,20175581,104353
13140,20154782,반창꼬,20124399,0
13175,20204446,우리들의 일기,20170941,2738
13183,20205026,파워배틀 와치카: 와치가면의 역습,20175581,158116
13149,10068649,주먹왕 랄프,20129388,52706
13133,20182609,반창꼬,20124399,0
13154,10077251,원더 우먼,20168261,643752
13159,10050870,7번째 내가 죽던 날,20174803,305134
13174,20278009,우리들의 일기,20170941,0
13167,20188687,바다 탐험대 옥토넛 시즌4: 더 파이널,20174821,47550
13138,20183662,반창꼬,20124399,0
13135,20180034,반창꼬,20124399,0
13190,10063789,미이라,20166488,2773417
13116,10023884,극장판 포켓몬스터 베스트위시「큐레무 VS 성검사 케르디오」,20128247,133727
13176,20278029,우리들의 일기,20170941,0
13181,10053526,절대 무림 신공,20167212,116
13179,20186700,우리들의 일기,20170941,0
13199,20277830,델타 보이즈,20162972,0
13112,10058024,가문의 영광5 - 가문의 귀환,20128687,1380044
13142,20125154,반창꼬,20124399,0
13200,20277850,델타 보이즈,20162972,0
13110,20209046,가문의 영광5 - 가문의 귀환,20128687,0
13097,10004212,가문의 영광5 - 가문의 귀환,20128687,756090
13130,20133145,반창꼬,20124399,0
13101,20110711,가문의 영광5 - 가문의 귀환,20128687,822014
13095,20180809,가문의 영광5 - 가문의 귀환,20128687,0
13147,10049662,아무르,20122101,4116
13146,10059687,아무르,20122101,71348
13194,20277589,바람의 춤꾼,20176041,0
13150,10060865,주먹왕 랄프,20129388,427764
13195,10030226,바람의 춤꾼,20176041,313441
13128,10069674,반창꼬,20124399,18059
13180,10034647,절대 무림 신공,20167212,116
13153,10017363,원더 우먼,20168261,128071
13168,20129731,베이블레이드 버스트 갓 : 갓 발키리의 탄생,20176141,42620
13202,10001586,심야식당 2,20173833,106948
13213,20256374,악녀,20162343,0
13224,10076466,8인의 수상한 신사들,20164511,0
13203,10050144,심야식당 2,20173833,123092
13244,20189655,중독노래방,20149571,0
13214,20256409,악녀,20162343,0
13225,10007208,8인의 수상한 신사들,20164511,0
13201,20277831,델타 보이즈,20162972,0
13210,10062378,악녀,20162343,14651
13219,20112023,용순,20168041,214
13223,10090611,8인의 수상한 신사들,20164511,49611
13221,20277289,용순,20168041,0
13207,10004466,악녀,20162343,67690
13230,20174743,꼬마참새 리차드: 아프리카 원정대,20176741,83345
13208,10066805,악녀,20162343,919653
13215,20279249,악녀,20162343,0
13211,20110935,악녀,20162343,1104436
13212,20123682,악녀,20162343,2507
13220,10003953,용순,20168041,109111
13216,20195643,용순,20168041,0
13217,20282689,용순,20168041,0
13222,10072456,용순,20168041,7238
13228,10070110,꼬마참새 리차드: 아프리카 원정대,20176741,0
13209,20256373,악녀,20162343,0
13243,20158573,중독노래방,20149571,330
13246,10061920,중독노래방,20149571,1441
13381,10025057,플립,20177501,26640
13206,10029949,악녀,20162343,243356
13333,10060736,뮤지컬 쉬 러브즈 미,20176717,1011163
13371,20149404,로얄 어페어,20122229,6384
13271,20110148,리얼,20159647,781801
13229,20245509,꼬마참새 리차드: 아프리카 원정대,20176741,26757
13354,20111894,타워,20124039,410069
13286,20213906,어떤 하루,20176766,48423
13373,20217006,재꽃,20164643,1695
13406,10063274,돈 슬립,20178141,54489
13306,20215507,옥자,20158485,4881
13277,20149353,리얼,20159647,0
13398,20278870,파밍 보이즈,20160746,0
13334,20153382,니코: 산타비행단의 모험,20122523,0
13316,10016538,스파이더맨: 홈 커밍,20167303,1983257
13352,10043371,타워,20124039,590318
13290,10052042,지랄발광 17세,20176961,553911
13268,10047489,파리의 밤이 열리면,20175122,41
13284,10057469,시칠리아 햇빛아래,20168595,4029104
13305,10031400,옥자,20158485,2429330
13262,20174747,언더더씨,20175821,56856
13266,10023908,좋아하게 되는 그 순간을 ~고백실행위원회~,20173661,0
13369,20166160,로얄 어페어,20122229,336946
13247,20270849,중독노래방,20149571,0
13442,10090290,군함도,20161481,3154758
13393,10017066,예수는 역사다,20176562,170627
13239,10012766,페어리,20122841,18128
13292,20240086,지랄발광 17세,20176961,7281
13260,20237947,언더더씨,20175821,67700
13324,10038460,스파이더맨: 홈 커밍,20167303,0
13295,10033238,직지코드,20174243,0
13283,20268349,박열,20178982,0
13231,20248075,꼬마참새 리차드: 아프리카 원정대,20176741,49958
13351,20128252,타워,20124039,1501426
13337,20112931,니코: 산타비행단의 모험,20122523,824190
13240,10085541,페어리,20122841,18128
13383,10065333,블랙 쉐도우,20178642,347792
13241,10055401,중독노래방,20149571,894186
13345,10086728,잠베지아: 신비한 나무섬의 비밀,20126388,385595
13366,10061276,타워,20124039,6879908
13236,10060612,댄스 오브 드래곤,20120664,853487
13227,20068999,꼬마참새 리차드: 아프리카 원정대,20176741,0
13269,20125794,리얼,20159647,6649050
13218,10072168,용순,20168041,1043
13261,20248075,언더더씨,20175821,0
13287,20278871,어떤 하루,20176766,0
13342,10064554,잠베지아: 신비한 나무섬의 비밀,20126388,595854
13362,20182448,타워,20124039,0
13321,10024736,스파이더맨: 홈 커밍,20167303,10
13314,10054493,옥자,20158485,799544
13280,10072221,박열,20178982,0
13304,20137818,옥자,20158485,9998
13363,20182851,타워,20124039,0
13341,10045569,잠베지아: 신비한 나무섬의 비밀,20126388,135068
13379,10034930,내 사랑,20174801,85996
13310,10011087,옥자,20158485,0
13267,10050205,파리의 밤이 열리면,20175122,304907
13299,10054347,부니베어: 로거빅 컴백홈 프로젝트,20178121,39289
13400,10036407,내가 죽기 전에 가장 듣고 싶은 말,20176781,55583
