,movie_name,director_average
576, 맛있는 섹스 그리고 환상의 여인,25
577, 미녀전쟁,11176
578, 비행기,0
579, 세이빙 산타,0
580," 시바, 인생을 던져",4339
581, 오르가즘,0
582, 와일드 빌,126508
583, 완전범죄 프로젝트,0
584, 포비든 리얼리티,0
585, 포스터,0
586, 화이트 스완,0
587, 오텔로,0
588, 거짓말 섹스가 좋아2,5460
589, 백은제국,0
590, 상하이 콜링,0
591, 썬더와 마법저택,606697
592, 요리사와의 불륜,0
593, 용의자,708157
594, 지상 최고의 아빠,0
595, 최민수의 어쌔씬 코드,0
596, 꼬마마녀 요요와 네네,0
597, 하이힐을 신은 여자는 위험하다,0
598, 건,0
599, 그녀가 부른다,1042166
600, 밤의 여인 1%의 섹스,0
601, 셜리에 관한 모든 것,0
602, 소울 오브 브레드,0
603, 아무도 머물지 않았다,11549
604, 에비던스,229014
605, 청야,15721
606, 포르노 아티스트,0
607, 금지된 알바,0
608, 몽정애-꿈 속의 여인,0
609, 엔더스 게임,659511
610, 월터의 상상은 현실이 된다,41099
611, 저스틴,0
612, 시절인연,7763
613, 클린스킨,0
614, 마드모아젤 C,0
615, 정사2013,0
616, 청춘예찬,0
617, 마지막 떡국열차,0
618, 굿모닝 하트에이크,0
619," 극장판 포켓몬스터 베스트위시: 신의 속도 게노세크트, 뮤츠의 각성",227224
620, 더 울프 오브 월스트리트,231424
621, 돈 존,0
622, 마테호른,0
623, 배틀 오브 비보이,3650
624, 브룩클린 브라더스,0
625, 오직 사랑하는 이들만이 살아남는다,13237
626, 윤희,378
627, 컨트롤,10
628, 코드네임 더 몰,0
629, 타인의 아내를 사랑하다,0
630, 타잔 3D,121663
631, 트러블 메이커,105074
632, 특수경찰: 스페셜 ID,7260
633, 플라잉 머신 3D,0
634, 플랜맨,0
635, 화룡대결,10414
636, 비행소년,0
637, 살인자,0
638," 가장 따뜻한 색, 블루",0
639, 겨울왕국,510622
640, 도노반스 에코,0
641, 맛,0
642, 미스 좀비,14595
643, 사대명포 2,60721
644, 오스카 그랜트의 어떤 하루,0
645, 올드보이,44869
646, 잭 라이언 : 코드네임 쉐도우,419613
647, 캡틴 하록,292
648, 코뿔소의 계절,0
649, 클로즈드 시즌: 욕망의 계절,0
650, 하드데이,3268
651, 하이프 네이션 : 힙합사기꾼,0
652, 한 번도 안 해본 여자,2082
653, 남자가 사랑할 때,3189455
654, 무간지옥 - 아웃 오브 인페르노,151512
655, 수상한 그녀,2782456
656, 위험한 패밀리,249752
657, 유부녀 감금일기,38
