,movie_name,movie_code,director_name,director_code,nation,release_date,day1_screen,day1_audience,day8_date,day8_audience,director_sum
193, 블루 재스민,20131541,우디 앨런,10052035,미국,2013-09-25,204,8659,2013-10-02,74420,2088949
194, 짓,20122466,한종훈,10087738,한국,2013-09-25,148,2467,2013-10-02,22942,0
195, 퍼펙트,20131241,닐스 아르덴 오플레브,20125859,미국,2013-09-25,115,2775,2013-10-02,16564,62679
196, 가투의 연날리기,20135584,라잔 코사,20168800,인도,2013-09-26,2,6,2013-10-03,230,37669
197, 로미오와 줄리엣,20131043,케네스 맥밀란,20179054,영국,2013-09-26,2,20,2013-10-03,221,73230
198, 모테키: 모태솔로 탈출기,20131861,오오네 히토시,20171960,일본,2013-09-26,6,340,2013-10-03,797,10260
199, 벌거숭이,20125247,박상훈,20069019,한국,2013-09-26,5,11,2013-10-03,308,255520
200, 스트레인저 인사이드,20132881,아담 네우츠키-불프,20178960,덴마크,2013-09-26,5,380,2013-10-03,1305,255520
201, 아유레디?,20138482,허원,10088237,한국,2013-09-26,19,288,2013-10-03,5197,255520
202, 애프터 루시아,20131691,미셸 프랑코,20178023,멕시코,2013-09-26,7,91,2013-10-03,1488,255520
203, 인터섹션,20131122,데이빗 마코니,20115388,프랑스,2013-09-26,4,30,2013-10-03,158,1064
204, 차일디쉬 게임즈,20130981,안토니오 샤바리아스,10043890,스페인,2013-09-26,1,195,2013-10-03,1560,5091521
205, 체온 ? 그녀의 온도,20132794,타카오미 오가타,20178608,일본,2013-09-26,5,371,2013-10-03,1266,0
206, 투 타이거,20132087,산드로 세카,20178208,이탈리아,2013-09-26,1,510,2013-10-03,4500,4989
207, 허니,20132743,세미 카플라노글루,10036086,터키,2013-09-26,2,35,2013-10-03,426,3070
208, 호비와 후후의 대모험: 무지개꽃을 구하라,20132381,히라바야시 이사무,20178567,일본,2013-09-26,36,643,2013-10-03,10648,275109
209, 히든 카드,20131630,브래드 퍼맨,10032080,미국,2013-09-26,350,23283,2013-10-03,147443,3240370
210, 리골레토,20135272,마이클 메이어,20179063,미국,2013-09-28,2,61,2013-10-05,275,1140
211, 깡철이,20123381,안권태,10042824,한국,2013-10-02,700,134531,2013-10-09,964826,972
212, 댄서김의 은밀한 교수법,20133570,신혜성,20166836,한국,2013-10-02,1,120,2013-10-09,888,0
213, 로덴시아: 마법왕국의 전설,20132261,데이비드 비스바노,20178360,페루,2013-10-02,125,2707,2013-10-09,75058,64990
214, 소원,20134582,이준익,10057485,한국,2013-10-02,609,91705,2013-10-09,1211181,64990
215, 적인걸2 : 신도해왕의 비밀,20132262,서극,10035347,중국,2013-10-02,169,5539,2013-10-09,44457,647
216, 정글번치 : 빙산으로의 귀환,20128079,다비드 알로|에릭 토스티,20175349|10048293,프랑스,2013-10-02,126,1493,2013-10-09,50439,0
217, 프리즈너스,20130783,드니 빌뇌브,20113786,미국,2013-10-02,295,24147,2013-10-09,171646,0
218, 하리수의 도색,20132741,양범,10046916,홍콩,2013-10-02,5,830,2013-10-09,4774,2872025
219, 러브씬,20130241,문인대|이정원|김두헌,20030289|10057304|10004016,한국,2013-10-03,4,292,2013-10-10,767,170
220, 어떤 여인의 고백,20131862,아틱 라히미,10041820,프랑스,2013-10-03,8,203,2013-10-10,1380,51719
221, 히어로,20136059,김봉한|임경택,10004369|10058467,한국,2013-10-08,38,428,2013-10-15,21343,0
222, 러시 : 더 라이벌,20132120,론 하워드,10018065,미국,2013-10-09,252,19252,2013-10-16,112724,0
223, 비히클 19,20131821,무쿤다 마이클 드윌,20178084,미국,2013-10-09,10,108,2013-10-16,3477,1278
224, 쇼를 사랑한 남자,20132481,스티븐 소더버그,10039429,미국,2013-10-09,11,719,2013-10-16,7078,0
225, 에코 플래닛 3D : 지구 구출 특급 대작전,20132601,콤핀 켐군니르드,20115754,태국,2013-10-09,182,12785,2013-10-16,29326,17202
226, 화이: 괴물을 삼킨 아이,20123383,장준환,10060507,한국,2013-10-09,734,360280,2013-10-16,1487015,659
227, 다크 스페이스,20134005,로저 크리스찬,10017777,캐나다,2013-10-10,5,318,2013-10-17,939,8754
228, 그녀가 떠날 때,20124947,페오 알라다그,20127330,독일,2012-03-29,12,300,2012-04-05,3068,404209
229, 디어 한나,20113485,패디 콘시딘,10082446,영국,2012-03-29,10,345,2012-04-05,4255,8533
230, 세이지: 육지의 물고기,20125148,이세야 유스케,10056081,일본,2012-03-29,0,0,2012-04-05,249,0
231, 시체가 돌아왔다,20124051,우선호,10052136,한국,2012-03-29,402,47998,2012-04-05,510687,0
232, 타이탄의 분노,20124717,조나단 리브스만,10065332,미국,2012-03-29,505,71799,2012-04-05,673862,192461
233," 혜원아, 사랑해",20113991,김기현,10003742,한국,2012-03-29,2,8,2012-04-05,152,0
234, 에이리언 둠스데이,20133772,마크 앳킨스,10024294,미국,2013-10-10,5,290,2013-10-17,4340,0
235, 황금을 안고 튀어라,20132902,이즈츠 카즈유키,10057531,일본,2013-10-10,5,250,2013-10-17,1599,2988
236, 그래비티,20139221,알폰소 쿠아론,10045281,미국,2013-10-17,605,110996,2013-10-24,1158501,0
237, 네버다이 버터플라이,20138162,장현상,20172723,한국,2013-10-17,15,110,2013-10-24,1022,1694
