,movie_name,movie_code,director_name,director_code,director_average,nation,release_date,day1_date,day1_screen,day1_audience,day14_date,day14_audience,actor
185, 낭만파 남편의 편지,20125228,최위안,10072560,4293,한국,2013-09-12,2013-09-12,6,114,2013-09-25,1038,김재만|신소현|임성철|정우정|최석용|최천웅|오선아|최재호
186, 몬스터 대학교,20135001,댄 스캔론,20168024,0,미국,2013-09-12,2013-09-12,273,9957,2013-09-25,654597,빌리 크리스탈|존 굿맨|스티브 부세미|롭 리글|피터 손
68, 퍼시픽 림,20136961,길예르모 델 토로,10003461,263939,미국,2013-07-11,2013-07-11,961,209975,2013-07-24,2308511,찰리 허냄|론 펄먼|이드리스 엘바|찰리 데이
153, 언터처블: 1%의 우정,20124142,올리비에르 나카체|에릭 토레다노,20126649|20126650,40321,프랑스,2012-03-22,2012-03-22,311,46216,2012-04-04,1046006,프랑수아 클뤼제|오마 사이
118, 숨바꼭질,20136049,허정,20169260,1209082,한국,2013-08-14,2013-08-14,623,293917,2013-08-27,4329186,손현주|문정희|전미선|장채린|김수안|김원해|노수산나|정준원
129, 가시꽃,20120104,이돈구,10055132,11785,한국,2013-08-22,2013-08-22,10,103,2013-09-04,1429,남연우|양조아|홍정호|강기둥|임성균|정재영|김미란|한명수|김희성
115, 감기,20124937,김성수,10004596,853465,한국,2013-08-14,2013-08-14,671,304661,2013-08-27,2789195,장혁|수애|박민하|유해진|이희준|김기현|이상엽|박효주|박정민|최병모|마동석|차인표|정석원|나기찬|정재형|김남준|한승희|전상진|이영수|한정학|이학수|장슬기|김태준|박성철|박예슬|박진혁|박희권|유순철|나윤성|남문철
99, 슈퍼스타,20130065,자비에 지아놀리,10059220,3498,프랑스,2013-08-01,2013-08-01,3,16,2013-08-14,306,카드 메라드|세실 드 프랑스
157, 삼총사2013,20132081,콜 S. 맥케이,10076547,1,미국,2013-08-29,2013-08-29,3,260,2013-09-11,5410,데이빗 초카치|헤더 헴멘스|신 사리스 우쿠
199, 블루 재스민,20131541,우디 앨런,10052035,81090,미국,2013-09-25,2013-09-25,204,8659,2013-10-08,97320,케이트 블란쳇|알렉 볼드윈
110, 베이트,20130250,킴블 렌달,10078924,2784,호주,2013-08-08,2013-08-08,54,1864,2013-08-21,15990,자비에르 사무엘|샤니 빈슨
204, 모테키: 모태솔로 탈출기,20131861,오오네 히토시,20171960,3653,일본,2013-09-26,2013-09-26,6,340,2013-10-09,954,모리야마 미라이|나가사와 마사미|아소 쿠미코|나카 리이사
102, 플레이스 비욘드 더 파인즈,20130421,데릭 시엔프랜스,20128509,48885,미국,2013-08-01,2013-08-01,30,756,2013-08-14,16035,라이언 고슬링|브래들리 쿠퍼|에바 멘데스
