,movie_name,nation,distribution,director_average,actor_sum,rate,genre,release_date,day1_screen,day1_audience,day15_date,day15_audience
666,윤희,한국,브릿지웍스 엔터테인먼트(주),378,3931,청소년관람불가,범죄|드라마|스릴러,2014-01-09,1,3,2014-01-22,545
667,포비든 리얼리티,러시아,(유)영화사 화수분,0,0,12세이상관람가,멜로/로맨스|코미디,2013-12-19,1,50,2014-01-01,0
668,트러블 메이커,미국,노바엔터테인먼트 ,105074,0,청소년관람불가,드라마,2014-01-09,5,102,2014-01-22,1402
669,도노반스 에코,캐나다,(주)토러스엔터테인먼트,0,0,청소년관람불가,SF|판타지|액션,2014-01-16,5,283,2014-01-29,1544
670,플라잉 머신 3D,영국,(주)앤드플러스미디어웍스,0,0,청소년관람불가,스릴러|드라마,2014-01-09,6,157,2014-01-22,0
671,정사2013,아이슬란드,(주)미디어데이,0,0,12세이상관람가,드라마|판타지|미스터리,2014-01-02,5,624,2014-01-15,0
672,지상 최고의 아빠,미국,C 무비,0,0,전체관람가|전체관람가,애니메이션|어드벤처|가족,2013-12-24,1,2,2014-01-06,0
673,돈 존,미국,(주)소나무픽쳐스,0,2909829,청소년관람불가,드라마|판타지|미스터리,2014-01-09,44,1182,2014-01-22,11749
674,아무도 머물지 않았다,프랑스,(주)액티버스엔터테인먼트,11549,82457,15세이상관람가,드라마,2013-12-26,24,518,2014-01-08,11256
675,그렇게 아버지가 된다,일본,(주)미디어데이,38493,122722,청소년관람불가,코미디|드라마|멜로/로맨스,2013-12-19,39,2152,2014-01-01,54131
676,화룡대결,홍콩,(주)씨에이씨엔터테인먼트,10414,0,15세이상관람가,드라마|미스터리,2014-01-09,1,67,2014-01-22,0
677,올드보이,미국,(주)티캐스트콘텐츠허브,44869,0,전체관람가,드라마|가족,2014-01-16,103,1281,2014-01-29,0
678,월터의 상상은 현실이 된다,미국,(주)미디어데이,41099,2556762,청소년관람불가,액션|스릴러|미스터리,2013-12-31,378,93788,2014-01-13,792345
679,셜리에 관한 모든 것,오스트리아 ,(주)나이너스엔터테인먼트,0,0,청소년관람불가,액션|스릴러,2013-12-26,6,256,2014-01-08,3825
680,다이노소어 어드벤처 3D,미국,(주)팝엔터테인먼트,501907,2561050,청소년관람불가,멜로/로맨스|드라마|코미디,2013-12-19,294,11259,2014-01-01,534956
681,컨트롤,홍콩,이십세기폭스코리아(주),10,0,12세이상관람가,어드벤처|코미디|드라마,2014-01-09,5,90,2014-01-22,740
682,브룩클린 브라더스,미국,(주)영화사 진진,0,0,15세이상관람가,드라마,2014-01-09,2,7,2014-01-22,0
683,행복한 사전,일본,포커스 온,7097,269850,15세이상관람가,액션|범죄|스릴러,2014-02-20,24,543,2014-03-05,10247
684,"가장 따뜻한 색, 블루",프랑스,(주)앤드플러스미디어웍스,0,277788,15세이상관람가,코미디,2014-01-16,39,1876,2014-01-29,27145
685,논스톱,미국,씨네그루(주)다우기술,337161,1165680,전체관람가,드라마|코미디,2014-02-27,487,115832,2014-03-12,1572413
686,거짓말 섹스가 좋아2,한국,판씨네마(주),5460,0,청소년관람불가,드라마|멜로/로맨스,2013-12-24,5,690,2014-01-06,0
687,엔더스 게임,미국,(주)넥스트엔터테인먼트월드(NEW),659511,3518998,15세이상관람가,액션,2013-12-31,460,125787,2014-01-13,645940
688,소울 오브 브레드,대만,(주)소나무픽쳐스,0,106924,청소년관람불가,멜로/로맨스|코미디|스릴러,2013-12-26,3,19,2014-01-08,811
689,잭 라이언 : 코드네임 쉐도우,미국,(주)케이알씨지,419613,2193748,청소년관람불가,멜로/로맨스|드라마,2014-01-16,384,42588,2014-01-29,324714
690,피끓는 청춘,한국,롯데쇼핑㈜롯데엔터테인먼트,1559859,10546408,12세이상관람가,SF|액션|어드벤처,2014-01-22,557,157026,2014-02-04,1556985
691,"실종, 어느날납치된소녀",일본,씨제이이앤엠(주),87,0,12세이상관람가,액션|드라마|스릴러,2012-04-16,1,75,2012-04-29,0
692,청야,한국,롯데쇼핑㈜롯데엔터테인먼트,15721,1039065,15세이상관람가,코미디|멜로/로맨스|드라마,2013-12-26,2,541,2014-01-08,4135
693,더 노즈,미국,(유)조이앤컨텐츠그룹,0,0,청소년관람불가,범죄|드라마,2014-02-22,2,36,2014-03-07,260
694,스턱 인 러브,미국,(주)마노엔터테인먼트,749146,1326682,12세이상관람가,드라마,2014-02-20,39,469,2014-03-05,14039
695,유혹의 기술,미국,(주)인스터피씨엠,0,0,전체관람가,공연,2014-01-23,5,628,2014-02-05,0
696,소울 오브 락,일본,(주)앤드플러스미디어웍스,0,0,15세이상관람가,코미디|드라마|멜로/로맨스,2014-02-08,1,10,2014-02-21,0
697,사랑의 유효기간은 3년,프랑스,(주)소나무픽쳐스,0,0,청소년관람불가,코미디|멜로/로맨스,2014-02-13,9,378,2014-02-26,1622
698,굿모닝 맨하탄,인도,(주)영진크리에이티브,0,0,15세이상관람가,코미디,2014-02-06,99,2509,2014-02-19,28956
699,비행소년,스페인,(주)더블앤조이픽쳐스,0,0,청소년관람불가,코미디|멜로/로맨스,2014-01-15,5,510,2014-01-28,5210
700,남자가 사랑할 때,한국,(주)인벤트스톤,3189455,17819210,전체관람가,코미디|드라마,2014-01-22,484,98730,2014-02-04,1453306
701,하이프 네이션 : 힙합사기꾼,한국,스크린조이,0,0,청소년관람불가,드라마,2014-01-16,10,567,2014-01-29,0
702,화이트 스톰,홍콩,(주)넥스트엔터테인먼트월드(NEW),114453,0,15세이상관람가,멜로/로맨스|드라마,2014-02-20,6,327,2014-03-05,0
703,조선미녀삼총사,한국,(주)인벤트스톤,648625,9967384,청소년관람불가|청소년관람불가,범죄|드라마|코미디,2014-01-29,388,60234,2014-02-11,478027
704,오스카 그랜트의 어떤 하루,미국,(주)미디어데이,0,2336152,청소년관람불가,액션|범죄|스릴러,2014-01-16,18,245,2014-01-29,3129
