,movie_name,movie_code,director_name,director_code,release_date,nation
268, 홍금보의 채리불권,20127669,황명승,20166495,2012-06-28,홍콩
269, 마법의 섬,20124367,월리엄 크리스티,20166322,2012-07-04,미국
270, 좀비108,20127819,전인호,20166380,2012-07-04,대만
271, 더 레이븐,20113821,제임스 맥티그,10064100,2012-07-05,미국
272, 딥 인 더 우드,20127493,브누와 쟉꼬,10031718,2012-07-05,프랑스
273, 모모와 다락방의 수상한 요괴들,20127108,오키우라 히로유키,10050896,2012-07-05,일본
274, 미드나잇 인 파리,20126686,우디 알렌,10052035,2012-07-05,미국
275, 연가시,20124062,박정우,10029181,2012-07-05,한국
276, 욕망,20128050,안토니오 자발라 쿠글러,20120141,2012-07-05,멕시코
277, 키드넵 : 한밤의 침입자,20127666,미구엘 엔젤 비바스,10026921,2012-07-05,스페인
278, 헤이와이어,20126410,스티븐 소더버그,10039429,2012-07-05,미국
279, 옆집 누나 오후의 정사,20128231,타카하라 히데카즈,20166828,2012-07-10,일본
280," 간호사, 오후의 정사 2",20128229,쿠보데라 카즈토,20120521,2012-07-12,일본
281, 나는 공무원이다,20113391,구자홍,10002240,2012-07-12,한국
282, 데이즈 오브 다크니스,20128309,제이크 케네디,20120301,2012-07-12,미국
283, 두 개의 달,20125916,김동빈,10003947,2012-07-12,한국
284, 로스트 인 베이징,20078769,리 위,10019341,2012-07-12,중국
285, 리미트리스,20126745,닐 버거,10009032,2012-07-12,미국
286, 모피를 입은 비너스,20119997,송예섭,10037137,2012-07-12,한국
287, 백자의 사람 : 조선의 흙이 되다,20127046,타카하시 반메이,10009936,2012-07-12,일본
288, 베스트 엑조틱 메리골드 호텔,20126470,존 매든,10067817,2012-07-12,영국
289," 섹스, 거짓말 그리고 비디오 테이프",20126668,봉만대,10031639,2012-07-12,한국
290, 술이 깨면 집에 가자,20124927,히가시 요이치,10090882,2012-07-12,일본
291, 스트리트 댄스 2: 라틴배틀,20127211,맥스 기와|다니아 파스퀴니,20115394|10009249,2012-07-12,영국
292, 애니씽 포 허,20126076,프레드 카바예,20113761,2012-07-12,프랑스
293, 에브리씽 머스트 고,20127427,댄 러쉬,20129669,2012-07-12,미국
294, 잃어버린 황금을 찾아서,20128348,에릭 베스나드,10048130,2012-07-12,프랑스
295, 철암 계곡의 혈투,20111027,지하진,20113543,2012-07-12,한국
296, 캣 런,20127667,존 스톡웰,10068073,2012-07-12,미국
297, 내 여친이 야한 이유,20128227,유사 카즈히사,20166382,2012-07-17,일본
298, 내 남친은 사이보그,20128529,타지리 유지,10079308,2012-07-19,일본
299, 내 슬픈 창녀들의 추억,20127406,헨닝 칼슨,10088686,2012-07-19,멕시코
300, 다크 나이트 라이즈,20112703,크리스토퍼 놀란,10077460,2012-07-19,미국
301, 도니도니 삼형제와 아기늑대 침투작전,20128548,하워드 베이커,10087121,2012-07-19,미국
302, 레인 폴,20128527,맥스 매닉스,10025399,2012-07-19,일본
303, 명탐정 코난: 11번째 스트라이커,20127306,시즈노 코분|야마모토 야스이치로,20113482|20115431,2012-07-19,일본
304, 엑소시즈머스,20128266,마누엘 카르발로,20120282,2012-07-19,스페인
305, 우쿨렐레 사랑모임,20124999,노효두,20128779,2012-07-19,한국
306, 조지 해리슨,20126619,마틴 스콜세지,10024735,2012-07-19,미국
307, 카페 드 플로르,20127509,장 마크 발레,10059743,2012-07-19,캐나다
308, 페이크자매의 불륜정사,20128446,카모가와 테츠로,20121101,2012-07-19,일본
309, 하와이언 레시피,20127467,사나다 아츠시,10033788,2012-07-19,일본
310, 5백만불의 사나이,20124058,김익로,20125818,2012-07-19,한국
311, 구멍난 팬티,20128233,모리오카 토시유키,20127593,2012-07-24,일본
312, 극장판 도라에몽: 진구와 기적의 섬 애니멀 어드벤처,20127266,쿠스바 고조,10076791,2012-07-25,일본
313, 도둑들,20124034,최동훈,10072187,2012-07-25,한국
314, 무서운 이야기,20124349,정범식|임대웅|홍지영|김곡|김선|민규동,10061758|10058504|10089855|10003598|10004500|10027774,2012-07-25,한국
315, 아이스 에이지 4: 대륙 이동설,20126667,스티브 마티노|마이크 트메이어,10039050|10022766,2012-07-25,미국
316, 파닥파닥,20126010,이대희,20111031,2012-07-25,한국
317, 맛있는 섹스,20128627,쿠로사기 히로시,20166390,2012-07-26,일본
318, 미국의 바람과 불,20110340,김경만,10003533,2012-07-26,한국
319, 스워드 오브 워,20128607,렌조 마르티넬리,20120803,2012-07-26,이탈리아
320, 캔 유 필 잇,20126625,찰리 프리드릭스,20120742,2012-07-26,미국
321, 케빈에 대하여,20113486,린 램지,10020800,2012-07-26,영국
322, 할복: 사무라이의 죽음,20127430,미이케 다카시,10027427,2012-07-26,일본
323, 서태지 8집: 398일의 기록,20128626,서태지,10035656,2012-07-27,한국
324, 에어섹스,20128232,조조 히데오,10066963,2012-07-31,일본
325, 그레이브 인카운터,20127630,더 비셔우스 브라더스,20121123,2012-08-01,캐나다
326, 매직 마이크,20127706,스티븐 소더버그,10039429,2012-08-01,미국
327, 새미의 어드벤쳐 2,20126406,벤 스타센,10031148,2012-08-01,벨기에
328, 피라냐 3DD,20127407,존 걸레거,10067535,2012-08-01,미국
329, 락 오브 에이지,20127086,아담 쉥크만,10041333,2012-08-02,미국
330, 말리,20126621,케빈 맥도널드,20112441,2012-08-02,미국
331, 메튜 본의 백조의 호수 3D,20128466,매튜 본,20121281,2012-08-02,영국
332, 스팟걸-교수와 여제자,20128668,신혜성,20166836,2012-08-02,한국
333, 애니멀 킹덤,20128407,데이빗 미코드,20120502,2012-08-02,호주
334, 통통한 혁명,20124741,민두식,10027782,2012-08-02,한국
335, AV 아이돌,20128246,조조 히데오,10066963,2012-08-02,한국
336, 러브호텔에서 생긴 일,20128526,카와무라 키요토,20166385,2012-08-07,일본
337, 나는 왕이로소이다,20124080,장규성,10060063,2012-08-08,한국
338, 바람과 함께 사라지다,20124067,김주호,20030155,2012-08-08,한국
339, 빌리와 용감한 녀석들 3D,20127887,라인하드 클루스|호거 태프,10014119|10089026,2012-08-08,독일
340, 황제펭귄 펭이와 솜이,20124933,김진만|김재영,20100264|20127317,2012-08-08,한국
341, 광대를 위한 슬픈 발라드,20128311,알렉스 드 라 이글레시아,10044780,2012-08-09,스페인
