,movie_name,movie_code,director_name,director_code,nation,release_date,day1_date,day1_screen,day1_audience,day14_date,day14_audience
175, 파리의 도둑고양이,20125066,장-루프 펠리시올리|알랭 가뇰,20114602|20127389,프랑스,2012-04-26,2012-04-26,4,31,2012-05-09,1046
176, 48시간의 일탈,20126143,이숭환,10056203,한국,2012-04-28,2012-04-28,1,75,2012-05-11,0
177, 딱따구리와 비,20125912,오키타 슈이치,10050897,일본,2012-05-03,2012-05-03,8,107,2012-05-16,1144
178, 로렉스,20113889,크리스 리노드|카일 발다,20112359|20127335,미국,2012-05-03,2012-05-03,255,5348,2012-05-16,266491
179, 몬스터,20126146,에릭 이스튼버그,20128531,미국,2012-05-03,2012-05-03,1,75,2012-05-16,0
180, 백설공주,20125426,타셈 싱,10079201,미국,2012-05-03,2012-05-03,318,26499,2012-05-16,514340
181, 아버지를 위한 노래,20098183,파올로 소렌티노,10082236,이탈리아,2012-05-03,2012-05-03,1,207,2012-05-16,2995
182, 오즈의 마법사,19398001,빅터 플레밍,10033202,미국,2012-05-03,2012-05-03,5,25,2012-05-16,3457
183, 잠자는 숲속의 미녀,20112059,카트린느 브레이야,10006599,프랑스,2012-05-03,2012-05-03,4,41,2012-05-16,594
184, 장화신은 고양이 디 오리지널,20125915,제롬 데스챔프|파스칼 헤롤드|마차 마케이에프,10063039|20128409|20128410,프랑스,2012-05-03,2012-05-03,14,149,2012-05-16,0
185, 저스트 프렌즈,20125886,안철호,20111272,한국,2012-05-03,2012-05-03,6,59,2012-05-16,1013
186, 코리아,20124045,문현성,20125803,한국,2012-05-03,2012-05-03,536,68660,2012-05-16,1392869
187, 블라인드 리벤지,20125810,라울 루이즈,10013939,영국,2012-05-04,2012-05-04,1,10,2012-05-17,0
188, 오피스 걸의 불륜,20126145,타지리 유지,10079308,일본,2012-05-04,2012-05-04,1,75,2012-05-17,0
189, 과외수업-폭행,20126468,제제 다카히사,10064512,일본,2012-05-09,2012-05-09,1,2,2012-05-22,0
190, 더럽혀진마리아,20126467,제제 다카히사,10064512,일본,2012-05-09,2012-05-09,1,2,2012-05-22,0
191, 사티아그라하,20124363,팰림 맥더모트,20166321,미국,2012-05-09,2012-05-09,2,24,2012-05-22,165
192, 다크 섀도우,20125866,팀 버튼,10081788,미국,2012-05-10,2012-05-10,352,57275,2012-05-23,573679
193, 단델리온 더스트,20125267,존 건,10067516,미국,2012-05-10,2012-05-10,27,191,2012-05-23,2522
194, 데인저러스 메소드,20125649,데이빗 크로넨버그,10012121,영국,2012-05-10,2012-05-10,97,2489,2012-05-23,23692
195, 두레소리,20111416,조정래,10066934,한국,2012-05-10,2012-05-10,125,2113,2012-05-23,34676
196, 디바이드,20124867,자비에 장,10059238,미국,2012-05-10,2012-05-10,8,101,2012-05-23,0
197, 믹막: 티르라리고 사람들,20125268,장 피에르 주네,10059987,프랑스,2012-05-10,2012-05-10,13,179,2012-05-23,3575
198, 버니드롭,20126027,사부,10009223,일본,2012-05-10,2012-05-10,47,517,2012-05-23,7143
199, 야곱 신부의 편지,20125766,클라우스 해로,10078229,핀란드,2012-05-10,2012-05-10,29,445,2012-05-23,5413
200, 이방인들,20112019,최용석,10072512,한국,2012-05-10,2012-05-10,4,12,2012-05-23,241
201, 제7의 봉인,20070400,잉마르 베리만,10059012,스웨덴,2012-05-10,2012-05-10,1,78,2012-05-23,1664
202, 컬러풀,20001428,하라 케이이치,10086748,일본,2012-05-10,2012-05-10,11,144,2012-05-23,2985
203, 내 아내의 모든 것,20113554,민규동,10027774,한국,2012-05-17,2012-05-17,502,87798,2012-05-30,2228460
204, 돈의 맛,20124064,임상수,10058591,한국,2012-05-17,2012-05-17,492,118042,2012-05-30,1066204
205, 레이드 : 첫번째 습격,20125467,가렛 에반스,20128289,인도네시아,2012-05-17,2012-05-17,119,2600,2012-05-30,21694
206, 멜랑콜리아,20125967,라스 폰 트리에,10013894,덴마크,2012-05-17,2012-05-17,20,334,2012-05-30,8283
207, 미래는 고양이처럼,20113482,미란다 줄리,10027001,미국,2012-05-17,2012-05-17,14,391,2012-05-30,6634
208, 에로티봇,20126594,토모마치 나오유키,10080621,일본,2012-05-17,2012-05-17,1,75,2012-05-30,0
209, 위험한 정사,20126592,카를레스 토라스,20165880,스페인,2012-05-17,2012-05-17,1,5,2012-05-30,0
210, 콜드 라잇 오브 데이,20125907,마브룩 엘 메크리,10022287,미국,2012-05-17,2012-05-17,245,10249,2012-05-30,87240
211, 퍼스트 그레이더,20124719,저스틴 채드윅,10061166,영국,2012-05-17,2012-05-17,5,32,2012-05-30,612
212, 프란체스코와 교황,20125209,치로 카펠라리,20127489,독일,2012-05-17,2012-05-17,5,34,2012-05-30,682
213, 머펫 대소동,20126588,제임스 보빈,20166822,미국,2012-05-18,2012-05-18,1,56,2012-05-31,0
214, S 중독,20126593,카모가와 테츠로,20121101,일본,2012-05-18,2012-05-18,1,75,2012-05-31,0
215, 그리움의 종착역,20100466,조성형,10065949,한국,2012-05-24,2012-05-24,1,44,2012-06-06,91
216, 극장판 썬더일레븐GO : 궁극의 우정 그리폰,20125806,미야오 요시카즈,20112841,일본,2012-05-24,2012-05-24,109,951,2012-06-06,83148
217, 맨 인 블랙 3,20113885,배리 소넨필드,10030916,미국,2012-05-24,2012-05-24,729,141261,2012-06-06,2731196
218, 머신건 프리처,20125486,마크 포스터,10024440,미국,2012-05-24,2012-05-24,135,2150,2012-06-06,0
219," 안녕, 하세요!",20126333,임태형,10058881,한국,2012-05-24,2012-05-24,14,118,2012-06-06,3929
220, 여비서,20126687,히로타 미키오,10090995,일본,2012-05-24,2012-05-24,1,75,2012-06-06,0
221, 천국의 아이들,20124044,박흥식,20110989,한국,2012-05-24,2012-05-24,6,36,2012-06-06,1776
222, 할머니는 일학년,20125208,진광교,10070411,한국,2012-05-24,2012-05-24,30,264,2012-06-06,4653
223, U.F.O.,20111686,공귀현,20112654,한국,2012-05-24,2012-05-24,11,43,2012-06-06,958
224, 로델린다,20124365,스티븐 워즈워스,20166520,미국,2012-05-29,2012-05-29,2,3,2012-06-11,0
